NodeName,X,Y
normal,-0.4796680277986544,0.8917444582032014
situation,-0.34496697968164397,0.6089155242585627
other,0.08637971164055504,-0.03358254656524005
drink,0.569111695510885,0.06937887892131865
mcdonalds,-0.31348921255470563,-0.8643078892239889
place,-0.15328287689993841,-0.6263804591808189
food,0.7089205415445075,0.3383196326257307
staff,-0.937588488456291,-0.062250596989645926
service,-0.6470034697719602,-0.13517824987405888
line,-0.5501200139983818,0.6185933375694629
order,1.0,0.4484970492792236
sandwich,0.795784264302527,0.5991009209158475
chicken,0.7074826393950913,0.5863385299654948
customer,-0.7979585310414243,-0.2496950307570585
fry,0.8487974549434458,0.4910833661920982
large,-0.3831618827143804,0.9290886337267676
meal,0.9705112727583879,0.37521953279572356
job,-0.04577961901532931,-0.16518272160105027
long,-0.21048682797122661,0.8424752044316897
new,0.18157658964871093,-0.253365079214492
regular,-0.5318633426763951,0.2574762997659426
location,-0.42846528763890585,-0.42145739410068145
coffee,0.8246038526404255,-0.00010753686498548545
cup,0.7578168124874166,-0.07304337850983778
extra,-0.08827446875131406,-0.04166585934391015
lady,-0.8113568008386296,0.02140432706909651
time,-0.8814923776312722,-0.18266068242910916
nugget,0.9831534274477598,0.29381919463179196
restaurant,-0.225424366436479,-0.8267564767224611
best,0.795274142383828,-0.6275546322606687
emotion,0.5313316842386381,-0.5417983437614576
people,-0.5504118051923388,0.8437790434483373
mcdonald,-0.019752591139137594,-0.8600902908857109
item,0.7748527097267954,0.1501859971164445
car,-0.3347428965313996,-0.7699938411829982
wait,-0.4745269214518092,0.7382647089125298
hour,-0.5761600680959535,0.7651823460376059
crew,-0.9418387696243576,-0.25272591884523304
night,-0.1920004906301776,0.7432549374838419
experience,-0.9667277285541215,-0.14996659251694752
lid,0.031162030623590433,0.153758988726516
burger,0.8890469584794222,0.5839998140384908
wrong,-0.3120079719145119,0.7850834393608584
minute,-0.620422362701059,0.6952565873542159
strawberry,0.6788817764171716,0.22264452515166158
cream,0.7598093751600777,0.21182684058399862
bag,0.2206079040536503,0.10099666107493252
ice,0.5691411851387483,0.24072410987779305
taste,0.1358541553680489,0.17044966148016927
lot,0.16095806909046637,-0.15831043911867052
bad,0.6208621961610045,-0.8181370576304827
great,0.7620209434360864,-0.7057174960216622
manager,-0.8277231589021167,-0.0904616802769142
next,0.2682316102001553,-0.014274338091809483
horrible,0.7463474732101385,-0.561555354331385
employee,-0.8129462837628466,-0.3662927343097123
price,-0.8879954403252495,-0.3243839478693117
pickle,0.9406836864863221,0.5033474295964508
window,-0.11692655599605914,-0.9084309800860101
store,-0.20926243870136904,-0.9197873385401205
3rd,-0.057590838749680066,0.08384700905147957
drive,-0.09231650540060703,-0.8055649611115435
good,0.7168512094745428,-0.7801869525617757
management,-0.7239665024695637,-0.38426989368954373
mess,-0.40386186956916836,0.8350556010937288
attitude,-0.8951070862126547,0.023556518995644638
day,-0.2891422788231412,0.8981424898976688
happy,0.6364136584677179,-0.7153027090023392
phone,0.2783448276881465,-0.1408467039137182
work,-0.7216279861290417,0.04327372710471597
rude,0.5273080484708665,-0.7855320583157442
one,0.0492139969299553,-0.24338549405539558
issue,-0.6698947787717845,-0.3038816669825428
